timestamp,close,high,low,trade_count,open,volume,vwap,symbol
2024-10-02 15:30:00+02:00,4.275,4.35,4.18,4774,4.24,2201376,4.248816,WULF
2024-10-02 16:00:00+02:00,4.3499,4.4,4.275,5378,4.28,1893022,4.328817,WULF
2024-10-02 16:30:00+02:00,4.31,4.38,4.3,3513,4.345,896160,4.351008,WULF
2024-10-02 17:00:00+02:00,4.33,4.35,4.27,2810,4.315,839596,4.31649,WULF
2024-10-02 17:30:00+02:00,4.47,4.47,4.315,2518,4.3299,1046945,4.404967,WULF
2024-10-02 18:00:00+02:00,4.485,4.52,4.45,2741,4.468,1197862,4.490032,WULF
2024-10-02 18:30:00+02:00,4.402,4.49,4.4,1963,4.485,797213,4.454898,WULF
2024-10-02 19:00:00+02:00,4.394,4.42,4.38,1368,4.405,482520,4.400415,WULF
2024-10-02 19:30:00+02:00,4.43,4.435,4.36,1237,4.39,359726,4.393446,WULF
2024-10-02 20:00:00+02:00,4.405,4.44,4.39,1418,4.43,366573,4.41579,WULF
2024-10-02 20:30:00+02:00,4.395,4.45,4.39,1594,4.41,443961,4.418277,WULF
2024-10-02 21:00:00+02:00,4.375,4.41,4.37,1703,4.395,388744,4.390913,WULF
2024-10-02 21:30:00+02:00,4.37,4.39,4.36,3444,4.375,1020802,4.374531,WULF
2024-10-02 22:00:00+02:00,4.3799,4.41,4.35,51,4.36,474829,4.361066,WULF
2024-10-02 22:30:00+02:00,4.4,4.4,4.37,9,4.37,6021,4.379274,WULF
2024-10-02 23:00:00+02:00,4.41,4.41,4.39,6,4.4,2320,4.397739,WULF
2024-10-02 23:30:00+02:00,4.4,4.41,4.38,15,4.41,5777,4.407738,WULF
2024-10-03 00:00:00+02:00,4.39,4.39,4.38,14,4.39,3353,4.388553,WULF
2024-10-03 00:30:00+02:00,4.3799,4.39,4.3795,17,4.39,27951,4.388016,WULF
2024-10-03 01:00:00+02:00,4.3795,4.38,4.375,9,4.38,6680,4.379914,WULF
2024-10-03 01:30:00+02:00,4.3799,4.38,4.37,8,4.37,23252,4.370639,WULF
2024-10-03 10:00:00+02:00,4.27,4.29,4.16,181,4.29,60665,4.205526,WULF
2024-10-03 10:30:00+02:00,4.22,4.25,4.21,15,4.25,3094,4.225088,WULF
2024-10-03 11:00:00+02:00,4.25,4.25,4.24,7,4.24,1726,4.244206,WULF
2024-10-03 11:30:00+02:00,4.28,4.28,4.27,11,4.27,1160,4.273636,WULF
2024-10-03 12:00:00+02:00,4.3,4.3,4.3,14,4.3,3900,4.3,WULF
2024-10-03 12:30:00+02:00,4.3,4.3,4.3,14,4.3,4809,4.3,WULF
2024-10-03 13:00:00+02:00,4.31,4.31,4.29,67,4.29,11184,4.293428,WULF
2024-10-03 13:30:00+02:00,4.339,4.34,4.31,9,4.33,1369,4.331385,WULF
2024-10-03 14:00:00+02:00,4.4187,4.4187,4.28,209,4.3,60732,4.332822,WULF
2024-10-03 14:30:00+02:00,4.38,4.4,4.37,106,4.39,27894,4.385179,WULF
2024-10-03 15:00:00+02:00,4.34,4.42,4.3,189,4.38,42984,4.35694,WULF
2024-10-03 15:30:00+02:00,4.535,4.55,4.3,4806,4.3,1577219,4.46273,WULF
2024-10-03 16:00:00+02:00,4.47,4.58,4.46,4533,4.54,1620296,4.524203,WULF
2024-10-03 16:30:00+02:00,4.43,4.5,4.43,2592,4.47,837855,4.471754,WULF
2024-10-03 17:00:00+02:00,4.46,4.48,4.414,1997,4.4322,579191,4.445295,WULF
2024-10-03 17:30:00+02:00,4.475,4.49,4.43,1669,4.46,605100,4.463405,WULF
2024-10-03 18:00:00+02:00,4.465,4.49,4.45,1465,4.48,530354,4.466569,WULF
2024-10-03 18:30:00+02:00,4.405,4.48,4.39,1769,4.47,468581,4.429318,WULF
